Date,Close
2017-08-16,24.99
2017-08-17,24.54
2017-08-18,24.83
2017-08-21,24.46
2017-08-22,25.34
2017-08-23,25.48
2017-08-24,25.66
2017-08-25,24.99
2017-08-28,24.91
2017-08-29,25.04
2017-08-30,25.76
2017-08-31,26.11
2017-09-01,25.93
2017-09-05,25.77
2017-09-06,26.05
2017-09-07,26.3
2017-09-08,26.53
2017-09-11,27.57
2017-09-12,27.27
2017-09-13,27.49
2017-09-14,28.64
2017-09-15,28.5
2017-09-18,28.69
2017-09-19,28.56
2017-09-20,28.47
2017-09-21,28.4
2017-09-22,28.75
2017-09-25,27.45
2017-09-26,27.61
2017-09-27,28.07
2017-09-28,28.49
2017-09-29,28.81
2017-10-02,29.39
2017-10-03,29.94
2017-10-04,30.15
2017-10-05,30.76
2017-10-06,30.76
2017-10-09,31.07
2017-10-10,31.32
2017-10-11,32
2017-10-12,32.81
2017-10-13,32.81
2017-10-16,33.22
2017-10-17,32.69
2017-10-18,32.52
2017-10-19,32.12
2017-10-20,32.5
2017-10-23,32.53
2017-10-24,32.71
2017-10-25,32.9
2017-10-26,34.11
2017-10-27,35.2
2017-10-30,35.75
2017-10-31,37.19
2017-11-01,36.47
2017-11-02,36.07
2017-11-03,36.89
2017-11-06,37.18
2017-11-07,36.76
2017-11-08,36.71
2017-11-09,37.96
2017-11-10,39.21
2017-11-13,39.98
2017-11-14,39.74
2017-11-15,40.66
2017-11-16,41.9
2017-11-17,44.18
2017-11-20,45.21
2017-11-21,48.06
2017-11-22,48.81
2017-11-24,48.86
2017-11-27,41.02
2017-11-28,42.55
2017-11-29,39.13
2017-11-30,39.22
2017-12-01,38.22
2017-12-04,36.87
2017-12-05,37.6
2017-12-06,37.61
2017-12-07,38.73
2017-12-08,38.09
2017-12-11,38.3
2017-12-12,38.08
2017-12-13,36.19
2017-12-14,37.01
2017-12-15,37.03
2017-12-18,37.75
2017-12-19,36.92
2017-12-20,35.66
2017-12-21,35.87
2017-12-22,35.14
2017-12-26,35.05
2017-12-27,35.75
2017-12-28,35.13
2017-12-29,34.67
2018-01-02,36.17
2018-01-03,37.31
2018-01-04,38.1
2018-01-05,41.14
2018-01-08,40.76
2018-01-09,40.88
2018-01-10,40.84
2018-01-11,42.3
2018-01-12,41.25
2018-01-16,39.32
2018-01-17,40.06
